ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-08-28T01:42:44,localhost,http://localhost:3000/normal,1,4.474,0.342,0.0,0.608,0.009,5.462,207,200,cold,0,1,,,local_fault
2026-08-28T01:42:44,localhost,http://localhost:3000/slow-server,1,0.285,0.282,0.0,,,2008.743,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:42:46,localhost,http://localhost:3000/error-500,1,0.262,0.45,0.0,0.477,0.009,1.218,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:42:46,localhost,http://localhost:3000/drop-connection,1,0.216,0.428,0.0,0.28,,0.98,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:42:46,127.0.0.1,http://127.0.0.1:59999/,1,0.019,,,,,2000.657,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:42:48,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.546,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:42:48,localhost,http://localhost:3000/normal,1,0.254,0.281,0.0,0.518,0.008,1.079,207,200,cold,0,1,,,local_fault
2026-08-28T01:42:48,localhost,http://localhost:3000/slow-server,1,0.254,0.264,0.0,,,2002.013,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:42:50,localhost,http://localhost:3000/error-500,1,0.352,0.367,0.0,0.75,0.01,1.504,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:42:50,localhost,http://localhost:3000/drop-connection,1,0.383,0.541,0.0,0.422,,1.422,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:42:50,127.0.0.1,http://127.0.0.1:59999/,1,0.026,,,,,2003.141,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:42:52,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.445,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:42:52,localhost,http://localhost:3000/normal,1,0.297,0.447,0.0,0.474,0.009,1.245,207,200,cold,0,1,,,local_fault
2026-08-28T01:42:52,localhost,http://localhost:3000/slow-server,1,0.284,0.451,0.0,,,2002.03,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:42:54,localhost,http://localhost:3000/error-500,1,0.346,10.939,0.0,0.386,0.01,11.705,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:42:54,localhost,http://localhost:3000/drop-connection,1,0.224,0.347,0.0,0.159,,0.774,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:42:54,127.0.0.1,http://127.0.0.1:59999/,1,0.024,,,,,2005.171,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:42:56,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.218,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:42:56,localhost,http://localhost:3000/normal,1,0.499,16.952,0.0,0.859,0.015,18.376,207,200,cold,0,1,,,local_fault
2026-08-28T01:42:56,localhost,http://localhost:3000/slow-server,1,0.353,0.279,0.0,,,2009.898,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:42:58,localhost,http://localhost:3000/error-500,1,0.257,0.411,0.0,0.45,0.007,1.145,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:42:58,localhost,http://localhost:3000/drop-connection,1,0.221,0.468,0.0,0.196,,0.929,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:42:58,127.0.0.1,http://127.0.0.1:59999/,1,0.029,,,,,2014.83,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:00,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.557,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:00,localhost,http://localhost:3000/normal,1,0.216,0.269,0.0,0.389,0.008,0.901,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:00,localhost,http://localhost:3000/slow-server,1,0.23,0.237,0.0,,,2010.543,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:02,localhost,http://localhost:3000/error-500,1,0.54,10.9,0.0,0.411,0.012,11.903,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:02,localhost,http://localhost:3000/drop-connection,1,0.237,11.003,0.0,0.361,,11.689,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:02,127.0.0.1,http://127.0.0.1:59999/,1,0.027,,,,,2010.892,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:04,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.746,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:05,localhost,http://localhost:3000/normal,1,0.519,0.281,0.0,0.357,0.008,1.185,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:05,localhost,http://localhost:3000/slow-server,1,0.196,0.251,0.0,,,2004.089,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:07,localhost,http://localhost:3000/error-500,1,0.232,0.369,0.0,0.339,0.02,0.977,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:07,localhost,http://localhost:3000/drop-connection,1,0.287,0.448,0.0,0.207,,0.988,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:07,127.0.0.1,http://127.0.0.1:59999/,1,0.029,,,,,2008.584,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:09,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.645,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:09,localhost,http://localhost:3000/normal,1,0.266,0.27,0.0,0.383,0.008,0.949,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:09,localhost,http://localhost:3000/slow-server,1,0.276,0.245,0.0,,,2003.966,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:11,localhost,http://localhost:3000/error-500,1,0.241,0.248,0.0,0.352,0.006,0.863,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:11,localhost,http://localhost:3000/drop-connection,1,0.201,0.231,0.0,0.335,,0.809,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:11,127.0.0.1,http://127.0.0.1:59999/,1,0.016,,,,,2005.509,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:13,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.991,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:13,localhost,http://localhost:3000/normal,1,0.307,0.306,0.0,0.63,0.012,1.28,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:13,localhost,http://localhost:3000/slow-server,1,0.234,0.258,0.0,,,2011.415,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:15,localhost,http://localhost:3000/error-500,1,0.286,0.287,0.0,0.389,0.008,0.988,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:15,localhost,http://localhost:3000/drop-connection,1,0.272,0.286,0.0,0.232,,0.843,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:15,127.0.0.1,http://127.0.0.1:59999/,1,0.03,,,,,2005.88,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:17,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.772,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:17,localhost,http://localhost:3000/normal,1,0.266,21.523,0.0,0.278,0.008,22.099,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:17,localhost,http://localhost:3000/slow-server,1,0.239,0.26,0.0,,,2007.493,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:19,localhost,http://localhost:3000/error-500,1,0.282,0.3,0.0,0.573,0.011,1.189,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:19,localhost,http://localhost:3000/drop-connection,1,0.299,0.301,0.0,0.494,,1.166,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:19,127.0.0.1,http://127.0.0.1:59999/,1,0.043,,,,,2000.808,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:21,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.849,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:21,localhost,http://localhost:3000/normal,1,0.28,0.291,0.0,0.618,0.008,1.22,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:21,localhost,http://localhost:3000/slow-server,1,0.295,0.308,0.0,,,2007.542,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:23,localhost,http://localhost:3000/error-500,1,0.287,11.193,0.0,0.629,0.012,12.16,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:23,localhost,http://localhost:3000/drop-connection,1,0.345,0.308,0.0,0.833,,1.542,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:23,127.0.0.1,http://127.0.0.1:59999/,1,0.035,,,,,2002.312,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:25,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.745,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:25,localhost,http://localhost:3000/normal,1,0.254,1.959,0.0,0.659,0.015,2.906,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:25,localhost,http://localhost:3000/slow-server,1,0.253,14.738,0.0,,,2027.715,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:27,localhost,http://localhost:3000/error-500,1,0.517,10.182,0.0,0.622,0.022,11.404,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:27,localhost,http://localhost:3000/drop-connection,1,0.471,9.761,0.0,0.28,,10.637,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:27,127.0.0.1,http://127.0.0.1:59999/,1,0.031,,,,,2005.681,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:29,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.87,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:29,localhost,http://localhost:3000/normal,1,0.312,0.271,0.0,0.377,0.008,0.987,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:29,localhost,http://localhost:3000/slow-server,1,0.224,0.236,0.0,,,2004.891,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:31,localhost,http://localhost:3000/error-500,1,0.255,10.651,0.0,0.26,0.01,11.233,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:32,localhost,http://localhost:3000/drop-connection,1,0.225,0.376,0.0,0.182,,0.829,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:32,127.0.0.1,http://127.0.0.1:59999/,1,0.023,,,,,2004.113,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:34,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.802,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:34,localhost,http://localhost:3000/normal,1,0.285,0.276,0.0,0.363,0.007,0.949,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:34,localhost,http://localhost:3000/slow-server,1,0.438,0.472,0.0,,,2007.966,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:36,localhost,http://localhost:3000/error-500,1,0.246,13.104,0.0,0.622,0.021,14.034,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:36,localhost,http://localhost:3000/drop-connection,1,0.233,0.253,0.0,0.393,,0.936,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:36,127.0.0.1,http://127.0.0.1:59999/,1,0.021,,,,,2002.544,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:38,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.697,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:38,localhost,http://localhost:3000/normal,1,0.539,9.702,0.0,0.561,0.02,10.887,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:38,localhost,http://localhost:3000/slow-server,1,0.656,0.639,0.0,,,2004.437,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:40,localhost,http://localhost:3000/error-500,1,0.491,0.505,0.0,0.571,0.019,1.628,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:40,localhost,http://localhost:3000/drop-connection,1,0.451,0.467,0.0,0.443,,1.466,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:40,127.0.0.1,http://127.0.0.1:59999/,1,0.049,,,,,2009.083,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:42,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.454,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:42,localhost,http://localhost:3000/normal,1,0.275,0.305,0.0,0.375,0.008,0.984,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:42,localhost,http://localhost:3000/slow-server,1,0.269,0.274,0.0,,,2002.806,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:44,localhost,http://localhost:3000/error-500,1,0.294,13.19,0.0,0.414,0.013,13.943,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:44,localhost,http://localhost:3000/drop-connection,1,0.32,0.273,0.0,0.26,,0.898,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:44,127.0.0.1,http://127.0.0.1:59999/,1,0.028,,,,,2003.624,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:46,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.735,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:46,localhost,http://localhost:3000/normal,1,0.193,0.202,0.0,0.352,0.009,0.772,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:46,localhost,http://localhost:3000/slow-server,1,0.52,0.852,0.0,,,2008.695,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:48,localhost,http://localhost:3000/error-500,1,0.254,0.674,0.0,0.322,0.007,1.275,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:48,localhost,http://localhost:3000/drop-connection,1,0.203,0.329,0.0,0.159,,0.732,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:48,127.0.0.1,http://127.0.0.1:59999/,1,0.04,,,,,2002.533,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:50,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.884,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:50,localhost,http://localhost:3000/normal,1,0.211,0.851,0.0,0.352,0.008,1.44,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:50,localhost,http://localhost:3000/slow-server,1,0.228,0.361,0.0,,,2001.592,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:52,localhost,http://localhost:3000/error-500,1,0.523,10.222,0.0,0.958,0.018,11.763,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:52,localhost,http://localhost:3000/drop-connection,1,0.282,0.271,0.0,0.308,,0.923,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:52,127.0.0.1,http://127.0.0.1:59999/,1,0.018,,,,,2003.449,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:54,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.777,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:54,localhost,http://localhost:3000/normal,1,0.25,0.273,0.0,0.363,0.007,0.91,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:54,localhost,http://localhost:3000/slow-server,1,0.224,0.372,0.0,,,2000.472,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:43:56,localhost,http://localhost:3000/error-500,1,0.284,0.321,0.0,0.407,0.01,1.044,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:43:56,localhost,http://localhost:3000/drop-connection,1,0.358,0.325,0.0,0.228,,0.967,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:43:56,127.0.0.1,http://127.0.0.1:59999/,1,0.042,,,,,2002.893,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:43:58,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.362,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:43:58,localhost,http://localhost:3000/normal,1,0.296,0.317,0.0,0.348,0.011,0.993,207,200,cold,0,1,,,local_fault
2026-08-28T01:43:58,localhost,http://localhost:3000/slow-server,1,0.248,0.233,0.0,,,2003.626,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:00,localhost,http://localhost:3000/error-500,1,0.676,0.392,0.0,0.817,0.014,2.009,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:00,localhost,http://localhost:3000/drop-connection,1,0.279,0.276,0.0,0.261,,0.864,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:01,127.0.0.1,http://127.0.0.1:59999/,1,0.03,,,,,2002.427,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:03,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.193,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:03,localhost,http://localhost:3000/normal,1,0.289,0.368,0.0,0.398,0.01,1.086,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:03,localhost,http://localhost:3000/slow-server,1,0.235,0.263,0.0,,,2002.895,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:05,localhost,http://localhost:3000/error-500,1,0.249,0.668,0.0,0.249,0.008,1.195,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:05,localhost,http://localhost:3000/drop-connection,1,0.341,0.319,0.0,0.097,,0.798,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:05,127.0.0.1,http://127.0.0.1:59999/,1,0.019,,,,,2004.63,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:07,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.76,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:07,localhost,http://localhost:3000/normal,1,0.375,0.717,0.0,0.388,0.009,1.509,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:07,localhost,http://localhost:3000/slow-server,1,0.207,0.38,0.0,,,2004.082,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:09,localhost,http://localhost:3000/error-500,1,0.251,0.671,0.0,0.321,0.007,1.267,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:09,localhost,http://localhost:3000/drop-connection,1,0.288,0.464,0.0,0.239,,1.115,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:09,127.0.0.1,http://127.0.0.1:59999/,1,0.158,,,,,2002.048,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:11,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.311,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:11,localhost,http://localhost:3000/normal,1,0.202,0.364,0.0,0.321,0.008,0.91,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:11,localhost,http://localhost:3000/slow-server,1,0.284,0.297,0.0,,,2004.115,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:13,localhost,http://localhost:3000/error-500,1,0.248,0.694,0.0,0.323,0.008,1.295,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:13,localhost,http://localhost:3000/drop-connection,1,0.311,1.282,0.0,0.528,,2.509,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:13,127.0.0.1,http://127.0.0.1:59999/,1,0.039,,,,,2001.316,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:15,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.771,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:15,localhost,http://localhost:3000/normal,1,0.223,0.412,0.0,0.58,0.009,1.264,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:15,localhost,http://localhost:3000/slow-server,1,0.35,0.478,0.0,,,2013.973,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:17,localhost,http://localhost:3000/error-500,1,0.549,0.626,0.0,0.689,0.025,1.949,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:17,localhost,http://localhost:3000/drop-connection,1,0.56,0.565,0.0,0.475,,1.724,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:17,127.0.0.1,http://127.0.0.1:59999/,1,0.047,,,,,2000.482,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:19,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,0.887,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:19,localhost,http://localhost:3000/normal,1,0.893,0.497,0.0,0.387,0.013,1.82,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:19,localhost,http://localhost:3000/slow-server,1,0.282,0.283,0.0,,,2000.136,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:21,localhost,http://localhost:3000/error-500,1,0.325,0.259,0.0,0.352,0.007,0.961,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:21,localhost,http://localhost:3000/drop-connection,1,0.271,10.282,0.0,0.247,,10.881,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:21,127.0.0.1,http://127.0.0.1:59999/,1,0.03,,,,,2000.452,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:23,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.156,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:23,localhost,http://localhost:3000/normal,1,0.286,12.218,0.0,0.698,0.011,13.236,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:23,localhost,http://localhost:3000/slow-server,1,0.295,12.192,0.0,,,2027.163,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:25,localhost,http://localhost:3000/error-500,1,0.269,0.287,0.0,0.353,0.007,0.939,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:25,localhost,http://localhost:3000/drop-connection,1,0.251,0.265,0.0,0.229,,0.952,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:25,127.0.0.1,http://127.0.0.1:59999/,1,0.027,,,,,2002.461,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:27,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.221,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:27,localhost,http://localhost:3000/normal,1,0.233,0.513,0.0,0.361,0.007,1.133,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:27,localhost,http://localhost:3000/slow-server,1,0.208,0.342,0.0,,,2011.426,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:29,localhost,http://localhost:3000/error-500,1,0.569,0.958,0.0,0.818,0.017,2.394,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:29,localhost,http://localhost:3000/drop-connection,1,0.236,0.284,0.0,0.194,,0.752,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:30,127.0.0.1,http://127.0.0.1:59999/,1,0.02,,,,,2002.682,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:32,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.072,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:32,localhost,http://localhost:3000/normal,1,0.263,0.314,0.0,0.409,0.01,1.019,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:32,localhost,http://localhost:3000/slow-server,1,0.273,0.288,0.0,,,2014.483,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:34,localhost,http://localhost:3000/error-500,1,0.258,0.312,0.0,0.342,0.009,0.939,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:34,localhost,http://localhost:3000/drop-connection,1,0.186,0.253,0.0,0.171,,0.658,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:34,127.0.0.1,http://127.0.0.1:59999/,1,0.016,,,,,2002.035,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:36,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.159,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:36,localhost,http://localhost:3000/normal,1,0.28,0.429,0.0,0.323,0.008,1.057,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:36,localhost,http://localhost:3000/slow-server,1,0.293,0.445,0.0,,,2003.05,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:38,localhost,http://localhost:3000/error-500,1,0.279,1.298,0.0,0.619,0.011,2.235,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:38,localhost,http://localhost:3000/drop-connection,1,0.257,0.317,0.0,0.201,,0.832,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:38,127.0.0.1,http://127.0.0.1:59999/,1,0.027,,,,,2002.55,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:40,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.838,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:40,localhost,http://localhost:3000/normal,1,0.346,10.426,0.0,0.262,0.009,11.066,207,200,cold,0,1,,,local_fault
2026-08-28T01:44:40,localhost,http://localhost:3000/slow-server,1,0.186,0.273,0.0,,,2002.139,0,,cold,0,0,HTTP,TimeoutError,local_fault
2026-08-28T01:44:42,localhost,http://localhost:3000/error-500,1,0.237,0.727,0.0,0.33,0.009,1.32,240,500,cold,0,0,HTTP,status_500,local_fault
2026-08-28T01:44:42,localhost,http://localhost:3000/drop-connection,1,0.279,0.439,0.0,0.251,,1.013,0,,cold,0,0,HTTP,ConnectionError,local_fault
2026-08-28T01:44:42,127.0.0.1,http://127.0.0.1:59999/,1,0.028,,,,,2003.349,0,,cold,0,0,CONNECT,TimeoutError,local_fault
2026-08-28T01:44:44,invalid-dns-local-test.invalid,http://invalid-dns-local-test.invalid:3000/,1,,,,,,1.475,0,,cold,0,0,DNS,gaierror,local_fault
2026-08-28T01:44:44,localhost,http://localhost:3000/normal,1,0.284,0.432,0.0,0.319,0.007,1.06,207,200,cold,0,1,,,local_fault
